"time","Md","Ms"
0,700,630
0.002,698.6138887743249,630
0.004,697.2551150356813,630
0.006,695.9228450520359,630
0.008,694.6170199059338,630
0.01,693.3366960234412,630
0.012,692.0820484847836,630
0.014,690.8519255286764,630
0.016,689.6464334441558,630
0.018,688.4645777936155,630
0.02,687.3063374134642,630
0.022,686.1711631919493,630
0.024,685.0584890071664,630
0.026,683.9680135107811,630
0.028,682.8993193635021,630
0.03,681.8518930185309,630
0.032,680.8252714768327,630
0.034,679.8190432853596,630
0.036,678.8327643281204,630
0.038,677.8660459703539,630
0.04,676.9184846406112,630
0.042,675.9896212894348,630
0.044,675.0790261154506,630
0.046,674.1864697898374,630
0.048,673.3117698554656,630
0.05,672.4544064053516,630
0.052,671.614013870692,630
0.054,670.7902266826837,630
0.056,669.9826902356772,630
0.058,669.1913791595878,630
0.06,668.4157663713228,630
0.062,667.6555177668131,630
0.064,666.9102992419898,630
0.066,666.1797766927838,630
0.068,665.4638034493612,630
0.07,664.7621120018612,630
0.072,664.0743024908151,630
0.074,663.4000675557945,630
0.076,662.7390998363717,630
0.078,662.091152520287,630
0.08,661.4562622270072,630
0.082,660.8339402329741,630
0.084,660.2239129556406,630
0.086,659.6259068124598,630
0.088,659.0396482208849,630
0.09,658.4651049099593,630
0.092,657.9019951074438,630
0.094,657.3500078068935,630
0.096,656.8088967054794,630
0.098,656.2784155003727,630
0.1,655.7583698110728,630
0.102,655.2486569409401,630
0.104,654.7489820621176,630
0.106,654.2591367405254,630
0.108,653.7789163452308,630
0.11,653.3081200484481,630
0.112,652.8466412872363,630
0.114,652.3942734299154,630
0.116,651.9508362387862,630
0.118,651.5161646422353,630
0.12,651.0900993238413,630
0.122,650.6724565951388,630
0.124,650.263046242478,630
0.126,649.8617399370276,630
0.128,649.4683865192219,630
0.13,649.0828391117075,630
0.132,648.7049546538531,630
0.134,648.3345190686989,630
0.136,647.9714247964613,630
0.138,647.6155286903787,630
0.14,647.266690498627,630
0.142,646.9247728643198,630
0.144,646.5896300389516,630
0.146,646.2611227909684,630
0.148,645.9391246672525,630
0.15,645.6235057401896,630
0.152,645.3141385711839,630
0.154,645.0108983843573,630
0.156,644.713664102381,630
0.158,644.4223152748436,630
0.16,644.1367347037358,630
0.162,643.8568077091223,630
0.164,643.5824221291431,630
0.166,643.3134683200122,630
0.168,643.0498391560188,630
0.17,642.7914300295257,630
0.172,642.5381388509712,630
0.174,642.2898660488677,630
0.176,642.046501809529,630
0.178,641.8079186185487,630
0.18,641.5740482368441,630
0.182,641.3447973435166,630
0.184,641.1200748627721,630
0.186,640.8997919639199,630
0.188,640.6838620613745,630
0.19,640.4722008146538,630
0.192,640.2647261283798,630
0.194,640.0613581522795,630
0.196,639.8620192811828,630
0.198,639.6666341550249,630
0.2,639.4751296588443,630
0.202,639.2873862039069,630
0.204,639.1032895242365,630
0.206,638.9228265341801,630
0.208,638.7459276650926,630
0.21,638.5725252973372,630
0.212,638.4025537602852,630
0.214,638.2359493323166,630
0.216,638.0726502408203,630
0.218,637.9125966621925,630
0.22,637.7557307218387,630
0.222,637.6019964941726,630
0.224,637.4513400026161,630
0.226,637.3037092195996,630
0.228,637.1589274918036,630
0.23,637.0169211997458,630
0.232,636.8777230516838,630
0.234,636.7412801348726,630
0.236,636.60754106917,630
0.238,636.476456007037,630
0.24,636.3479766335377,630
0.242,636.2220561663395,630
0.244,636.0986493557133,630
0.246,635.9777124845326,630
0.248,635.8592033682745,630
0.25,635.7430813550191,630
0.252,635.6293073254499,630
0.254,635.51768834384,630
0.256,635.408222428918,630
0.258,635.3009257287688,630
0.26,635.1957570916666,630
0.262,635.092676518591,630
0.264,634.991645163226,630
0.266,634.8926253319613,630
0.268,634.795580483891,630
0.27,634.7004752308145,630
0.272,634.6072753372365,630
0.274,634.5159477203662,630
0.276,634.426460450118,630
0.278,634.3387827491117,630
0.28,634.252748006891,630
0.282,634.1683957580011,630
0.284,634.0857160176544,630
0.286,634.0046767037901,630
0.288,633.9252466135342,630
0.29,633.8473954231996,630
0.292,633.7710936882855,630
0.294,633.6963128434779,630
0.296,633.6230252026493,630
0.298,633.5512039588593,630
0.3,633.4808231843539,630
0.302,633.4118578305656,630
0.304,633.3442837281139,630
0.306,633.2779659374734,630
0.308,633.2129595614176,630
0.31,633.1492412776447,630
0.312,633.086786356079,630
0.314,633.025570758518,630
0.316,632.9655711386325,630
0.318,632.9067648419664,630
0.32,632.8491299059366,630
0.322,632.7926450598331,630
0.324,632.7372897248192,630
0.326,632.6830440139314,630
0.328,632.6298887320788,630
0.33,632.5777984500745,630
0.332,632.526700180195,630
0.334,632.4766169090506,630
0.336,632.4275287506357,630
0.338,632.3794162212434,630
0.34,632.3322602290639,630
0.342,632.2860420637817,630
0.344,632.2407433861739,630
0.346,632.196346217709,630
0.348,632.1528329301434,630
0.35,632.1101862351205,630
0.352,632.0683891737684,630
0.354,632.0274251062978,630
0.356,631.9872762039563,630
0.358,631.9479224449537,630
0.36,631.9093513893629,630
0.362,631.8715472299713,630
0.364,631.8344943983768,630
0.366,631.7981775535756,630
0.368,631.7625815705495,630
0.37,631.7276915288548,630
0.372,631.6934927012093,630
0.374,631.6599705420801,630
0.376,631.6271106762724,630
0.378,631.594898887516,630
0.38,631.5633211070542,630
0.382,631.5323748031564,630
0.384,631.5020584993798,630
0.386,631.47234553201,630
0.388,631.4432239686153,630
0.39,631.4146821044568,630
0.392,631.3867084559582,630
0.394,631.3592917541727,630
0.396,631.3324209382521,630
0.398,631.3060851489162,630
0.4,631.2802737219198,630
0.402,631.2549761815224,630
0.404,631.2301822339558,630
0.406,631.2058817608936,630
0.408,631.1820648129184,630
0.41,631.1587216029912,630
0.412,631.1358424999205,630
0.414,631.1134180218287,630
0.416,631.0914388296228,630
0.418,631.0698957204618,630
0.42,631.0487840793106,630
0.422,631.0280950817237,630
0.424,631.0078174397613,630
0.426,630.9879426952107,630
0.428,630.9684625116752,630
0.43,630.9493686685935,630
0.432,630.9306530552589,630
0.434,630.9123076648391,630
0.436,630.8943245883954,630
0.438,630.8766960089025,630
0.44,630.8594141952676,630
0.442,630.8424714963501,630
0.444,630.8258603349813,630
0.446,630.809573201983,630
0.448,630.7936026501884,630
0.45,630.7779412884605,630
0.452,630.7625817757114,630
0.454,630.7475168149226,630
0.456,630.7327391471645,630
0.458,630.7182868214117,630
0.46,630.7041317223573,630
0.462,630.6902572104866,630
0.464,630.6766577887046,630
0.466,630.663328071118,630
0.468,630.6502627798513,630
0.47,630.637456741864,630
0.472,630.6249048857658,630
0.474,630.6126022386346,630
0.476,630.6005439228314,630
0.478,630.5887251528177,630
0.48,630.5771412319713,630
0.482,630.565787549403,630
0.484,630.5546595767731,630
0.486,630.5437528651078,630
0.488,630.5330630416152,630
0.49,630.5225858065022,630
0.492,630.5123169297907,630
0.494,630.502252248134,630
0.496,630.4923832988716,630
0.498,630.4827093174846,630
0.5,630.473226297969,630
0.502,630.4639301936531,630
0.504,630.4548170017306,630
0.506,630.445882759901,630
0.508,630.4371235430133,630
0.51,630.4285354597084,630
0.512,630.4201146490616,630
0.514,630.4118572772246,630
0.516,630.4037595340695,630
0.518,630.3958176298302,630
0.52,630.3880277917447,630
0.522,630.3803862606993,630
0.524,630.3728892878694,630
0.526,630.3655331313631,630
0.528,630.3583140528639,630
0.53,630.3512283142722,630
0.532,630.3442753894349,630
0.534,630.3374676190786,630
0.536,630.3307889515187,630
0.538,630.3242367306399,630
0.54,630.3178083778562,630
0.542,630.3115013921108,630
0.544,630.3053133498756,630
0.546,630.2992419051523,630
0.548,630.2932847894713,630
0.55,630.2874398118921,630
0.552,630.2817048590039,630
0.554,630.2760778949244,630
0.556,630.2705569613007,630
0.558,630.265140177309,630
0.56,630.259825739655,630
0.562,630.2546119225728,630
0.564,630.2494970778267,630
0.566,630.244479634709,630
0.568,630.2395581000419,630
0.57,630.2347310581766,630
0.572,630.2299971709932,630
0.574,630.2253551779013,630
0.576,630.2208038958393,630
0.578,630.216342219275,630
0.58,630.2119691202054,630
0.582,630.2076836481565,630
0.584,630.2034827199706,630
0.586,630.1993221646408,630
0.588,630.1952396311186,630
0.59,630.1912339812874,630
0.592,630.187304140437,630
0.594,630.1834490972642,630
0.596,630.1796679038724,630
0.598,630.1759596757718,630
0.6,630.1723235918793,630
0.602,630.1687588945183,630
0.604,630.1652648894194,630
0.606,630.1618409457193,630
0.608,630.1584864959619,630
0.61,630.1552010360978,630
0.612,630.1519841254839,630
0.614,630.1488353868841,630
0.616,630.1457545064694,630
0.618,630.1427412338165,630
0.62,630.1397953819101,630
0.622,630.1369168271405,630
0.624,630.1341055093052,630
0.626,630.1313614316086,630
0.628,630.1286846606614,630
0.63,630.1260753264816,630
0.632,630.123533622493,630
0.634,630.121059805527,630
0.636,630.1186541958213,630
0.638,630.116190846424,630
0.64,630.1137683044993,630
0.642,630.1113947784736,630
0.644,630.10906958881,630
0.646,630.1067920878718,630
0.648,630.1045616599214,630
0.65,630.1023777211223,630
0.652,630.1002397195372,630
0.654,630.098147135129,630
0.656,630.096099479761,630
0.658,630.0940962971958,630
0.66,630.0921371630964,630
0.662,630.0902216850255,630
0.664,630.0883495024461,630
0.666,630.0865202867211,630
0.668,630.0847337411133,630
0.67,630.0829896007853,630
0.672,630.0812876328,630
0.674,630.0796276361202,630
0.676,630.0780094416087,630
0.678,630.0764329120282,630
0.68,630.0748979420413,630
0.682,630.0734044582109,630
0.684,630.0719524189993,630
0.686,630.0705418147695,630
0.688,630.0691726677842,630
0.69,630.0677781483151,630
0.692,630.0663989722613,630
0.694,630.0650492676141,630
0.696,630.0637284564642,630
0.698,630.0624359752608,630
0.7,630.0611712748122,630
0.702,630.0599338202861,630
0.704,630.058723091209,630
0.706,630.0575385814658,630
0.708,630.0563797993012,630
0.71,630.0552462673185,630
0.712,630.05413752248,630
0.714,630.0530531161071,630
0.716,630.0519926138801,630
0.718,630.0509555958382,630
0.72,630.04994165638,630
0.722,630.0489504042627,630
0.724,630.0479814626024,630
0.726,630.0470344688746,630
0.728,630.0461090749134,630
0.73,630.0452049469122,630
0.732,630.0443217654232,630
0.734,630.0434592253577,630
0.736,630.0426170359858,630
0.738,630.0417949209368,630
0.74,630.040992618199,630
0.742,630.0401955874468,630
0.744,630.039408962791,630
0.746,630.0386383727199,630
0.748,630.0378834289473,630
0.75,630.0371437531052,630
0.752,630.036418976744,630
0.754,630.0357087413322,630
0.756,630.0350126982565,630
0.758,630.0343305088221,630
0.76,630.0336618442522,630
0.762,630.0330063856883,630
0.764,630.0323638241904,630
0.766,630.0317338607363,630
0.768,630.0311162062222,630
0.77,630.030510581463,630
0.772,630.0299167171913,630
0.774,630.0293343540583,630
0.776,630.028763242633,630
0.778,630.0282031434032,630
0.78,630.0276538267747,630
0.782,630.0271150730714,630
0.784,630.0265866725358,630
0.786,630.0260684253283,630
0.788,630.0255601415278,630
0.79,630.0250616411314,630
0.792,630.0245727540542,630
0.794,630.0240912106243,630
0.796,630.0236169562545,630
0.798,630.0231513132182,630
0.8,630.022694118063,630
0.802,630.0222452164531,630
0.804,630.0218044631705,630
0.806,630.0213717221143,630
0.808,630.0209468663004,630
0.81,630.0205297778625,630
0.812,630.0201203480513,630
0.814,630.0197184772345,630
0.816,630.0193240748976,630
0.818,630.0189370596428,630
0.82,630.0185573591897,630
0.822,630.0181849103753,630
0.824,630.0178196591537,630
0.826,630.0174615605963,630
0.828,630.0171105788914,630
0.83,630.0167666873451,630
0.832,630.0164298683804,630
0.834,630.0161001135376,630
0.836,630.015777423474,630
0.838,630.0154618079647,630
0.84,630.0151532859013,630
0.842,630.0148518852933,630
0.844,630.014557643267,630
0.846,630.014260963133,630
0.848,630.0139574412855,630
0.85,630.0136580424611,630
0.852,630.0133626475387,630
0.854,630.0130711418285,630
0.856,630.0127834150729,630
0.858,630.0124993614452,630
0.86,630.0122188795502,630
0.862,630.0119418724248,630
0.864,630.0116682475366,630
0.866,630.0113979167854,630
0.868,630.011130796502,630
0.87,630.0108668074491,630
0.872,630.0106058748207,630
0.874,630.0103479282424,630
0.876,630.010092901771,630
0.878,630.0098407338953,630
0.88,630.0095913675354,630
0.882,630.0093447500426,630
0.884,630.0091008332004,630
0.886,630.008859573223,630
0.888,630.0086209307567,630
0.89,630.008384870879,630
0.892,630.0081513630992,630
0.894,630.0079203813577,630
0.896,630.007691904027,630
0.898,630.0074659139103,630
0.9,630.0072423982429,630
0.902,630.0070213486914,630
0.904,630.0068027613543,630
0.906,630.0065866367609,630
0.908,630.0063729798724,630
0.91,630.0061618000818,630
0.912,630.005953111213,630
0.914,630.0057469315217,630
0.916,630.0055432836953,630
0.918,630.0053421948525,630
0.92,630.0051436965434,630
0.922,630.0049478247498,630
0.924,630.0047546198849,630
0.926,630.0045641267936,630
0.928,630.004376394752,630
0.93,630.0041914774679,630
0.932,630.0040094330806,630
0.934,630.0038303241608,630
0.936,630.0036542177111,630
0.938,630.003481185165,630
0.94,630.0033113023878,630
0.942,630.0031446496764,630
0.944,630.0029813117593,630
0.946,630.0028213777961,630
0.948,630.0026649413782,630
0.95,630.002515944905,630
0.952,630.0023851656606,630
0.954,630.0022577228125,630
0.956,630.0021336027238,630
0.958,630.0020127917575,630
0.96,630.0018952762769,630
0.962,630.0017810426451,630
0.964,630.0016700772252,630
0.966,630.0015623663803,630
0.968,630.0014578964735,630
0.97,630.0013566538684,630
0.972,630.0012586249273,630
0.974,630.0011637960141,630
0.976,630.0010721534917,630
0.978,630.000983683723,630
0.98,630.0008983730714,630
0.982,630.0008162079,630
0.984,630.0007371745718,630
0.986,630.0006612594501,630
0.988,630.0005884488979,630
0.99,630.0005187292785,630
0.992,630.0004520869549,630
0.994,630.0003885082903,630
0.996,630.0003279796479,630
0.998,630.0002704873905,630
1,630.0002160178817,630
1,630.0002160178817,630
